"","x"
"1","I first saw this in 2010 on a dvd which I own. As a fan of Adam Green, this film surpassed my expectations.
Revisited it few days back as I am planning to watch the remake Break.It is about three friends who get stranded in their ski lift chair far above the ground on a Sunday afternoon. One of the fella feels he has no choice but to jump from the ski lift chair and get help, as they will not survive up there in the bitter cold until Friday.
What we have here is bitter cold, frostbite, dangerous height n wolves.
The movie is scary n tension filled. The compound fracture scene is not for the squeamish. Very well done.
In most Bollywood films, the hero jumps from 10 floors n land straight on the ground like a cat without any compound fracture or shin bone breaking."
"2",""
"3","
                "
"4","Okay so this was a great movie, but i never want to watch it again. Ever.You get so involved with their situation and you're sucked into it, you feel their pain and horror. Ir leaves you feeling unsettled. A lot like 'Buried' did if you have seen that film.95% of the film is set in the same location but this doesn't mean it is boring at all. Absolutely not. So be prepared for an unsettling experience if you choose to watch this film.By no means is it bad though, it just motivates powerful feelings."
"5",""
"6","
                "
"7","A college student goes on a weekend ski/snowboard outing with his girlfriend and his jealous buddy. It was supposed to be just the guys, but Parker came along, much to buddy Lynch's dismay. She is still learning, and as a result of this, the trio spends most of the day on a bunny slope. After some complaining from Lynch, they decide to go on a quick run down the mountain before the day is through, but there's bad weather moving in. They manage to convince the lift operator to let them go, but through a series of unfortunate circumstances, the lift is stopped midway up the mountain leaving them stuck as the place shuts down for the week. With bad weather, the freezing cold and a large drop between them and the ground, the chances for survival are looking slim. And that's not taking the pack of hungry wolves into account.I caught this at the Parks Mall AMC back in February and thought it was fantastic. It's from the Open Water/Black Water/The Canyon school of survival horror. All of those films are intense portraits of people stuck in some form of wilderness nightmare with little hope of escape, but Frozen may just be my pick for best of the bunch. At one point early on into the trio's predicament, I discovered that I had unknowingly squeezed my hands together so tightly that they had fallen asleep, so it's safe to say that the tension got to me. The characters also really grew on me as the film wore on, and I actually felt really bad for them. This is Emma Bell's first film, and I was quite impressed with her performance. While she has a spotty moment or two, for a first-timer, I'd say she knocked it out of the park. Her standout scene takes place when she's relaying her fears about what might happen to her puppy if she dies on the lift, and if he'd think she abandoned him.Kudos to Adam Green for shooting this film on location. There are no green-screens or studio sets to be found here. Green and company found an actual lift to go out and shoot on. Equal amounts of kudos must go to the actors, as they were the ones up on the lift braving the elements for the authenticity a film of this type needs. Their hard work and tolerance paid off, as I often felt like I was right there on the lift with the characters. The chilly atmosphere vividly leaps off the screen, the bleak nature of the situation in which these three find themselves never in doubt. This film also hit a little closer to home for me, as I spent a week of skiing, etc. in Winter Park, CO not two months prior to watching this at the theater. With that fresh in my mind, I was left with an even stronger feeling of ""What if?"".Also effective is the sparingly used score, usually played over visuals of the abandoned ski park. There are some gruesome bits, particularly the hand scene from the trailer and a discovery towards the film's end, but most of the tension comes from the predicament itself and some of the debasing things the characters have to do. Needing to take a leak while stuck on a ski lift may not be a big deal if you're a guy, but Parker's options aren't so easy.I didn't think much of Adam Green's Hatchet. Frozen, on the other hand, is worth raving about."
"8",""
"9","
                "
"10","The magic of Frozen is that there's no badguy. It's just humans against nature. I was worried at first that the film would be slow paced. I mean, how many things can happen within such a small space?It turns out: plenty. Although time passes during the movie, the film does not give in to drawn out melodramatic sequences. They fight against nature, but the film is structured to attack them from all sides at once, but also in a way that's not transparently unrealistic. (Although personally I feel that nobody would have survived the cold and dehydration of the first night.)We even learn a little about the characters, in a way that's more convincing than most disaster films, I am thinking for example of The Poseidon Adventure. There are no stereotypes here.And they make mistakes. This isn't like Die Hard where the protagonist cleverly thinks of everything. Everything about the film, including their being trapped up so high, falls together like a series of coincidences, and that makes it even more horrific, because you start to believe that it might actually happen. There's even a little comedy to offset the horror, towards the beginning.There is some gore in the film, but hugely less than I was led to believe. This is no Quentin Tarantino film and no slasher film either.So having said what it's not, what is it? It's a thrilling look at how, even though we humans have extended ourselves into nature with technology, how reliant we are on that technology. It's an intellectual thriller rather than a supernatural or a serial killer freakshow thriller. It's normal people without heroic powers stuck in a situation that is near to real, the ""Lost in Translation"" of horror films.I though it was fantastic. I'll give Frozen a 9 out of 10."
"11",""
"12","
                "
"13","I spent a dollar and this at Redbox and I feel violated. This movie wouldn't make it as a circa 1970s made-for-television flick. If you dropped your glove in freezing temperatures wouldn't you put your hand in your pocket or something? Wouldn't it occur to at least 1 out of the 3 people to ZIP UP THEIR COAT all the way? Wouldn't any skier with even one run's worth of experience know that your feet freeze if you let them dangle off the chair lift for more than a few minutes? Wouldn't common sense dictate that you wrap your legs around the cable and slide down ""commando style"" instead of hanging your full weight from your frozen fingers? (I speak from experience here.) Couldn't they actually check to see if there are wolves in New England before writing them into the script? Why would the cable cut the guy's hands to ribbons? (They're maintained very carefully and kept greased. They are not ""sharp."") What are the odds they'd get stuck on the ONE chair with a loose bolt? Why was the ski resort closed all week when the next day's weather was perfect? This movie was written by people who have never been skiing, have no understanding of how chair lifts are constructed, couldn't be bothered to learn where wolves live and where they don't....what an embarrassment. And somebody thought this was a good enough idea that they ponied up several million dollars to make it. At least I'm only out a buck. It could be worse."
"14","I'm not jumping up and down for this one but I thought it was a very well done survival/thriller that had some shocking, gruesome scenes as well as some thrills and definitely chills. The acting was pretty decent but the stand out here is newcomer Emma Bell who gave an heartbreaking performance as one of the stranded skiers on a ski lift, man I felt all of her pain. I thought the director did a great job using different techniques with the camera and used his one location effectively that makes you think and feel that you're right there with them on that ski lift, the thought just terrifies me but doesn't make me fear going skiing just makes me think twice about going on a ski lift. I think it's a tad overrated saying it does for skiing what Jaws did for swimming, not really and to be honest it's more Open Water than Jaws just with more action and a different situation, sorry it just didn't put the fear in me, it just had me feeling sorry for them and rooting for them than actually being scared. It will have you thinking throughout questioning what would you do in that situation, what lengths would you go in order to survive and some of it to me wasn't plausible while other scenes were very realistic and will have you on the edge of your seat. What makes this so special is the fact that they took a simple idea and went to great lengths to make it powerful and had three leads that could be anyone's friend, sister, brother, lover and it makes you feel for them even more and makes the whole situation more unsettling and shattering with some scenes that will make you a little teary eyed, good effort. This film actually has a heart and is refreshing from most horror offerings lately but it's more of a drama/thriller and I can't wait to see what director Adam Green has up his sleeve next! Overall it could of had a slightly better conclusion and I don't think it's going to be the best genre flick of the year because I just don't see that happening but if you want to see something different, new and bone chilling go support Adam Green's latest effort Frozen, though more of a renter on a snowy night to me. Recommended!"
"15",""
"16","
                "
"17","I can almost guarantee that you will not enjoy this movie if you have ever done one of the following actions--Lived in snow -Been skiing -Been to the snow -Read a book about snow -Seen a movie that has snow in it -Spoken to someone who has seen snow -Accidentally turned your air conditioning down to low.Basically if you have any idea of what being in a cold environment might be like, then you will spend this entire movie picking faults and questioning the characters actions, because it seems like whoever wrote this script has not.One scene (very early so not a spoiler of any sort) shows a character noticing the other has frostbite on face. Points out the fact that they have it, but doesn't suggest zipping up their coat or even covering their face with the scarf they have uselessly positioned under their casually open coat. They carry on as if oblivious to the fact that the low temperatures are harmful in any way. This is just one small example of the stupidity of the main characters that you will inevitably come to hate, even wishing death upon, they deserve it, for making you sit and watch as they make one idiotic move after another against hazards that will have you scratching your head as to why they are hazards.There are a few interesting scenes, but it really is not worth the painful ""Why did you do that"" and ""That doesn't make any sense"" moments. Do yourself a favor and stick your tongue to a chairlift, you will have a less painful, and more interesting experience."
"18",""
"19","
                "
