"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1","Is it real voice of swami ji??","Shahzadpur Ambala","https://yt3.ggpht.com/a/AATXAJzWz8TH4vR0b9ITOVrJMDWT8vtBYARnx1skwA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSjTPvGuKdoHtgj8qP-Qeag","UCSjTPvGuKdoHtgj8qP-Qeag","0","0","2020-04-28T10:13:27.000Z","2020-04-28T10:13:27.000Z","UgyuVTKzcl7jWX6zddV4AaABAg",NA,"ii7obeNa20g"
"2","Wow, wonderful recording for 1893!...amazing what technology can recover.","Song Sabai","https://yt3.ggpht.com/a/AATXAJxgPQLTyMEtgxWuKEk6qkkvlCrJq4SJ5wJAdg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC36wm_BJgoVgYsyXbKxNQzA","UC36wm_BJgoVgYsyXbKxNQzA","0","0","2020-04-25T16:24:45.000Z","2020-04-25T16:24:45.000Z","UgzXg3kv4I2clELp95R4AaABAg",NA,"ii7obeNa20g"
"3","Very nice","PANDIT RASHTRAPAL","https://yt3.ggpht.com/a/AATXAJxYcKPladySoQuSJN5jiVztLvwX_-2bb0MHSQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClEAkckz-PwTcC2c7PMEFpQ","UClEAkckz-PwTcC2c7PMEFpQ","0","0","2020-04-22T04:47:50.000Z","2020-04-22T04:47:50.000Z","UgwkTrXMfSogsPUWROV4AaABAg",NA,"ii7obeNa20g"
"4","Thank you for this wonderful post","Karl Chia","https://yt3.ggpht.com/a/AATXAJw9JEm7-PLdpla_XefUSwkae_SOQVGRgNMNxw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClrt1avSE8D-Py1E0PD3HWw","UClrt1avSE8D-Py1E0PD3HWw","0","0","2020-04-21T12:00:24.000Z","2020-04-21T12:00:24.000Z","UgzchNLMlxYcsWQNwy54AaABAg",NA,"ii7obeNa20g"
"5","Inner peace cannot be awaited in outside..... Without any exaggeration <U+0001F4AF>. May I","Ellakkuvanraj Laxmanraj","https://yt3.ggpht.com/a/AATXAJxqYZ_XIvvgeBKUK1WFJVVWOzT5Pir5zygZLA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCSoBp801Vxlp2xI5CugEKQ","UCCSoBp801Vxlp2xI5CugEKQ","0","0","2020-04-21T05:29:31.000Z","2020-04-21T05:29:31.000Z","UgxnmWgKCXezeW0D_hV4AaABAg",NA,"ii7obeNa20g"
"6","Children 's of immortal bliss","Rupal Singh","https://yt3.ggpht.com/a/AATXAJylcv-AJUNLtCQRvrkrOJiQO8F66xzjwcVfWw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6g-NEPMQsF49xYoWIBzGJQ","UC6g-NEPMQsF49xYoWIBzGJQ","0","0","2020-04-19T11:11:21.000Z","2020-04-19T11:11:21.000Z","UgyR_SrLHDoX-AvGQtJ4AaABAg",NA,"ii7obeNa20g"
"7","A great speech on hinduism","venkatesh venkat","https://yt3.ggpht.com/a/AATXAJwq-xWkSbSqzoJ7Zz0u-4WOnEvkHMsVp3T0RQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCy5G6tpGMwBQHJrOJDIq-yA","UCy5G6tpGMwBQHJrOJDIq-yA","0","0","2020-04-18T13:39:10.000Z","2020-04-18T13:39:10.000Z","UgwuIMq6jnmsZyFWgVZ4AaABAg",NA,"ii7obeNa20g"
"8","He was shiv  gan
And paramhans  was one of thirty two jogni of kalika
Thus both were shiv  and shakti","Kiran Pandya","https://yt3.ggpht.com/a/AATXAJxKGYEVeK6QDfs7nC3Vd6YU5bOImr9mcOMWLw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_BmtaiS00af4rnXb_JDXxg","UC_BmtaiS00af4rnXb_JDXxg","0","0","2020-04-18T08:53:25.000Z","2020-04-18T08:53:25.000Z","Ugx-tPIdW9iUOqR5CH54AaABAg",NA,"ii7obeNa20g"
"9","<U+0001F64F>  So blissful to listen to His speech<U+0001F64F> Pranaam Master,,<U+0001F64F>","Vyjayanthi Upadhyay","https://yt3.ggpht.com/a/AATXAJzdhy6Ijr-mEl4777kGbMfeOHPf_5ksaZL9Fw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC57nLwt-Hk82Xvz0MTlhWuA","UC57nLwt-Hk82Xvz0MTlhWuA","0","0","2020-04-16T14:11:10.000Z","2020-04-16T14:11:10.000Z","Ugz7dUpBzjp4-u7y7O94AaABAg",NA,"ii7obeNa20g"
"10","This person is very great. He has something for every person around the globe.","Roman Dodia","https://yt3.ggpht.com/a/AATXAJwbrH3cSzRHtu__wUxoVTUZ2C2L-w4QRdG0CQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC3QVv-3IVQZOAR5qqEIfUXw","UC3QVv-3IVQZOAR5qqEIfUXw","0","2","2020-04-10T14:36:27.000Z","2020-04-10T14:36:27.000Z","UgyTmqZg0hLNVzXH_ih4AaABAg",NA,"ii7obeNa20g"
