"","x"
"1"," Most Helpful Positive Review (97)"
"2","Bad problem"
"3"," Most Helpful Critical Review (70)"
"4","This phone work only one Day."
"5","Bad problem"
"6","This phone work only one Day."
"7","best fon"
"8","Experience Mobile"
"9","Very good product"
"10","Very god"
"11","Very good"
"12","I LOVE IT"
"13","Nice good"
"14","Five Stars"
"15","Nice ok"
"16","Very good"
"17"," Most Helpful Positive Review (97)"
"18","Bad problem"
"19"," Most Helpful Critical Review (70)"
"20","This phone work only one Day."
"21","Bad problem"
"22","This phone work only one Day."
"23","Best product"
"24","Good product"
"25","Aura1 Review"
"26","Five Stars"
"27","Ravikumar"
"28","Thnkoo snapdeel.service"
"29","Nice mobil"
"30","Awesome model, best price"
"31","Jeewan panda"
"32","Good set"
"33"," Most Helpful Positive Review (97)"
"34","Bad problem"
"35"," Most Helpful Critical Review (70)"
"36","This phone work only one Day."
"37","Bad problem"
"38","This phone work only one Day."
"39","Awesome"
"40","Nice phone"
"41","Superb phone"
"42","Nice mobile"
"43","Perfect"
"44","Five Stars"
"45","Five Stars"
"46","Five Stars"
"47","Nice product"
"48","GOOD MOBILE..LIGHT WEIGHT GOOD.TOUCH.EVERY.THING.OK"
"49"," Most Helpful Positive Review (97)"
"50","Bad problem"
"51"," Most Helpful Critical Review (70)"
"52","This phone work only one Day."
"53","Bad problem"
"54","This phone work only one Day."
"55","Fantastic, goodness"
"56","Great Mobile for affordable price"
"57","Superb quality"
"58","Ye product is best"
"59","best product"
"60","compilet"
"61","Value for money."
"62","Karbonn aura1"
"63","Karbon ok"
"64","asme phone"
"65"," Most Helpful Positive Review (97)"
"66","Bad problem"
"67"," Most Helpful Critical Review (70)"
"68","This phone work only one Day."
"69","Bad problem"
"70","This phone work only one Day."
"71","Looking awesome"
"72","Good thank"
"73","Awesome mobile and cameras"
"74","works well and is fairly priced"
"75","Nice product with beautiful and slick body"
"76","feel good"
"77","Karbonn mobile"
"78","I am very impressed"
"79","Bad problem"
"80","Very good service The quality"
"81"," Most Helpful Positive Review (97)"
"82","Bad problem"
"83"," Most Helpful Critical Review (70)"
"84","This phone work only one Day."
"85","Bad problem"
"86","This phone work only one Day."
"87","Very bad"
"88","Nice product u cant get any piece at this price"
"89","Karbonn aura1"
"90","Good phone in this price range"
"91","Ok Best"
"92","Four Stars"
"93","Four Stars"
"94","Satisfaction with this product"
"95","Good Product"
"96","Four Stars"
"97"," Most Helpful Positive Review (97)"
"98","Bad problem"
"99"," Most Helpful Critical Review (70)"
"100","This phone work only one Day."
"101","Bad problem"
"102","This phone work only one Day."
"103","Nice phone"
"104","Good product"
"105","Four Stars"
"106","old stocks, good for person with limited use"
"107","Nice Phone"
"108","Four Stars"
"109","Value for money good"
"110","My best online products of Snapdeal,"
"111","Four Stars"
"112","Very gud phn"
"113"," Most Helpful Positive Review (97)"
"114","Bad problem"
"115"," Most Helpful Critical Review (70)"
"116","This phone work only one Day."
"117","Bad problem"
"118","This phone work only one Day."
"119","Nice but"
"120","Camera is very bad....otherwise this product features is usable."
"121","Karbon Aura 1"
"122","Nice At this price"
"123","Suresh"
"124","Good budget phone"
"125","Best mobile in nominal price..."
"126","Good product"
"127","Nice mobile"
